t(s)	u_raw(m/s)	v_raw(m/s)	w_raw(m/s)	u_despiked(m/s)	v_despiked(m/s)	w_despiked(m/s)
0.00	0.000	0.000	0.000	NaN	NaN	NaN
0.02	2.516	0.385	0.922	NaN	NaN	NaN
0.04	0.974	0.789	4.159	NaN	NaN	NaN
0.06	2.516	0.385	2.685	NaN	NaN	NaN
0.08	1.514	0.661	1.062	NaN	NaN	NaN
0.1	1.012	0.799	4.193	NaN	NaN	NaN
0.12	2.382	0.351	2.638	NaN	NaN	NaN
0.14	0.932	0.82	2.58	NaN	NaN	NaN
0.16	0.898	0.769	5.17	NaN	NaN	NaN
0.18	1.073	0.781	3.803	NaN	NaN	NaN
0.2	2.829	0.351	1.55	NaN	NaN	NaN
0.22	1.514	0.661	3.288	NaN	NaN	NaN
0.24	0.384	0.904	5.481	NaN	NaN	NaN
0.26	0.761	0.868	4.786	NaN	NaN	NaN
0.28	2.517	0.385	1.937	NaN	NaN	NaN
0.3	2.517	0.385	-0.373	NaN	NaN	NaN
0.32	0.51	0.937	3.458	NaN	NaN	NaN
0.34	3.521	0.11	-2.858	NaN	NaN	NaN
0.36	3.521	0.11	3.601	NaN	NaN	NaN
0.38	2.981	0.238	-0.05	NaN	NaN	NaN
0.4	2.479	0.375	1.981	NaN	NaN	NaN
0.42	3.098	0.226	2.593	NaN	NaN	NaN
0.44	0.384	0.905	5.169	NaN	NaN	NaN
0.46	2.622	0.413	2.215	NaN	NaN	NaN
0.48	2.517	0.385	1.826	NaN	NaN	NaN
0.5	3.402	0.079	-0.287	NaN	NaN	NaN
0.52	2.266	0.455	3.179	NaN	NaN	NaN
0.54	2.496	0.38	1.823	NaN	NaN	NaN
0.56	2.549	0.394	2.133	NaN	NaN	NaN
0.58	3.521	0.11	1.02	NaN	NaN	NaN
0.6	1.45	0.644	4.152	NaN	NaN	NaN
0.62	2.517	0.385	1.907	NaN	NaN	NaN
0.64	3.326	0.058	-0.408	NaN	NaN	NaN
0.66	1.223	0.82	2.73	NaN	NaN	NaN
0.68	1.663	0.699	3.783	NaN	NaN	NaN
0.7	3.081	0.298	1.71	NaN	NaN	NaN
0.72	-0.017	1.027	4.95	NaN	NaN	NaN
0.74	0.489	0.932	4.234	NaN	NaN	NaN
0.76	2.549	0.394	1.904	NaN	NaN	NaN
0.78	2.987	0.239	1.305	NaN	NaN	NaN
0.8	1.64	0.693	1.915	NaN	NaN	NaN
0.82	0.51	0.937	5.234	NaN	NaN	NaN
0.84	0.786	1.008	4.484	NaN	NaN	NaN
0.86	0.194	0.855	5.301	NaN	NaN	NaN
0.88	1.535	0.666	2.77	NaN	NaN	NaN
0.9	3.382	0.073	-0.261	NaN	NaN	NaN
0.92	2.517	0.385	-1.249	NaN	NaN	NaN
0.94	2.537	0.391	0.062	NaN	NaN	NaN
0.96	1.205	0.734	4.228	NaN	NaN	NaN
0.98	2.517	0.385	1.72	NaN	NaN	NaN
1	1.675	-0.369	-3.079	NaN	NaN	NaN
1.02	2.944	0.228	1.363	NaN	NaN	NaN
1.04	2.377	0.349	1.198	NaN	NaN	NaN
1.06	1.226	0.72	6.019	NaN	NaN	NaN
1.08	1.401	0.631	1.416	NaN	NaN	NaN
1.1	1.514	0.661	3.08	NaN	NaN	NaN
1.12	2.517	0.385	1.703	NaN	NaN	NaN
1.14	0.948	0.816	3.497	NaN	NaN	NaN
1.16	0.51	0.937	4.706	NaN	NaN	NaN
1.18	2.343	0.34	0.053	NaN	NaN	NaN
1.2	1.514	0.661	3.379	NaN	NaN	NaN
1.22	2.807	0.226	0.617	NaN	NaN	NaN
1.24	3.546	0.115	0.677	NaN	NaN	NaN
1.26	1.514	0.661	2.843	NaN	NaN	NaN
1.28	2.516	0.385	2.087	NaN	NaN	NaN
1.3	2.342	0.34	0.481	NaN	NaN	NaN
1.32	0.806	-0.058	1.845	NaN	NaN	NaN
1.34	2.516	0.385	4.102	NaN	NaN	NaN
1.36	2.494	0.38	2.409	NaN	NaN	NaN
1.38	0.53	0.942	4.232	NaN	NaN	NaN
1.4	2.516	0.385	0.988	NaN	NaN	NaN
1.42	1.033	-0.134	-0.349	NaN	NaN	NaN
1.44	1.279	0.734	4.202	NaN	NaN	NaN
1.46	3.12	0.274	1.479	NaN	NaN	NaN
1.48	3.13	0.276	-0.066	NaN	NaN	NaN
1.5	0.51	0.936	6.035	NaN	NaN	NaN
1.52	2.412	0.359	2.679	NaN	NaN	NaN
1.54	2.227	0.444	1.983	NaN	NaN	NaN
1.56	2.416	0.36	4.077	NaN	NaN	NaN
1.58	3.52	0.11	0.67	NaN	NaN	NaN
1.6	1.542	0.668	3.953	NaN	NaN	NaN
1.62	2.516	0.385	0.553	NaN	NaN	NaN
1.64	1.046	0.841	2.974	NaN	NaN	NaN
1.66	2.516	0.385	4.298	NaN	NaN	NaN
1.68	2.548	0.393	2.867	NaN	NaN	NaN
1.7	2.346	0.341	1.071	NaN	NaN	NaN
1.72	3.624	0.137	0.524	NaN	NaN	NaN
1.74	2.768	0.451	1.739	NaN	NaN	NaN
1.76	2.41	0.358	1.518	NaN	NaN	NaN
1.78	2.62	0.413	2.07	NaN	NaN	NaN
1.8	2.492	0.379	1.996	NaN	NaN	NaN
1.82	3.381	0.207	1.653	NaN	NaN	NaN
1.84	2.494	0.38	1.335	NaN	NaN	NaN
1.86	0.34	0.892	1.159	NaN	NaN	NaN
1.88	0.34	0.892	7.289	NaN	NaN	NaN
1.9	2.868	0.208	0.793	NaN	NaN	NaN
1.92	0.671	-0.094	0.266	NaN	NaN	NaN
1.94	1.423	0.79	4.267	NaN	NaN	NaN
1.96	1.41	0.634	3.745	NaN	NaN	NaN
1.98	0.51	0.936	5.655	NaN	NaN	NaN
2	2.516	0.385	1.373	NaN	NaN	NaN
2.02	1.48	0.651	4.028	NaN	NaN	NaN
2.04	0.51	0.936	4.688	NaN	NaN	NaN
2.06	-1.307	0.465	2.9	NaN	NaN	NaN
2.08	1.199	0.713	3.42	NaN	NaN	NaN
2.1	0.204	0.858	4.844	NaN	NaN	NaN
2.12	0.486	0.93	4.23	NaN	NaN	NaN
2.14	0.723	-0.079	-0.793	NaN	NaN	NaN
2.16	0.51	0.936	4.369	NaN	NaN	NaN
2.18	2.994	0.241	1.334	NaN	NaN	NaN
2.2	2.516	0.385	1.746	NaN	NaN	NaN
2.22	2.805	0.226	1.778	NaN	NaN	NaN
2.24	3.081	0.23	0.909	NaN	NaN	NaN
2.26	0.51	0.937	6.048	NaN	NaN	NaN
2.28	2.411	0.358	-0.82	NaN	NaN	NaN
2.3	2.517	0.385	2.655	NaN	NaN	NaN
2.32	2.498	0.38	-2.359	NaN	NaN	NaN
2.34	0.096	1.098	5.095	NaN	NaN	NaN
2.36	0.679	0.981	5.224	NaN	NaN	NaN
2.38	2.686	0.43	-0.09	NaN	NaN	NaN
2.4	-1.336	0.458	2.863	NaN	NaN	NaN
2.42	2.266	0.455	1.833	NaN	NaN	NaN
2.44	1.795	0.734	3.233	NaN	NaN	NaN
2.46	2.517	0.385	1.912	NaN	NaN	NaN
2.48	0.779	0.773	3.331	NaN	NaN	NaN
2.5	2.769	0.451	3.173	NaN	NaN	NaN
2.52	2.643	0.418	2.294	NaN	NaN	NaN
2.54	0.636	0.97	6.148	NaN	NaN	NaN
2.56	0.557	-0.123	1.399	NaN	NaN	NaN
2.58	2.517	0.385	3.112	NaN	NaN	NaN
2.6	1.514	0.661	4.25	NaN	NaN	NaN
2.62	-0.399	0.165	1.202	NaN	NaN	NaN
2.64	2.665	0.424	1.864	NaN	NaN	NaN
2.66	1.345	0.617	2.959	NaN	NaN	NaN
2.68	2.677	0.427	1.958	NaN	NaN	NaN
2.7	-1.37	0.449	1.544	NaN	NaN	NaN
2.72	0.51	0.937	5.739	NaN	NaN	NaN
2.74	1.033	0.804	4.715	NaN	NaN	NaN
2.76	0.762	1.003	6.803	NaN	NaN	NaN
2.78	1.173	0.754	4.336	NaN	NaN	NaN
2.8	0.683	0.982	4.886	NaN	NaN	NaN
2.82	3.019	0.247	1.142	NaN	NaN	NaN
2.84	-0.772	0.303	1.56	NaN	NaN	NaN
2.86	3.019	0.247	-1.322	NaN	NaN	NaN
2.88	0.762	1.003	6.008	NaN	NaN	NaN
2.9	0.51	0.937	4.715	NaN	NaN	NaN
2.92	1.514	0.661	3.547	NaN	NaN	NaN
2.94	2.517	0.385	2.088	NaN	NaN	NaN
2.96	2.517	0.385	3.17	NaN	NaN	NaN
2.98	0.179	0.005	-0.284	NaN	NaN	NaN
3	0.53	0.942	4.951	NaN	NaN	NaN
3.02	0.482	0.93	4.569	NaN	NaN	NaN
3.04	0.489	0.932	3.599	NaN	NaN	NaN
3.06	0.51	0.937	4.692	NaN	NaN	NaN
3.08	0.679	0.981	5.215	NaN	NaN	NaN
3.1	0.752	-0.073	2.636	NaN	NaN	NaN
3.12	1.16	0.703	3.463	NaN	NaN	NaN
3.14	1.514	0.661	2.109	NaN	NaN	NaN
3.16	0.683	0.982	5.971	NaN	NaN	NaN
3.18	2.517	0.385	4.3	NaN	NaN	NaN
3.2	1.073	0.781	2.398	NaN	NaN	NaN
3.22	2.517	0.385	1.816	NaN	NaN	NaN
3.24	1.094	0.685	3.904	NaN	NaN	NaN
3.26	0.679	0.981	4.847	NaN	NaN	NaN
3.28	1.543	0.668	3.479	NaN	NaN	NaN
3.3	0.384	0.905	2.379	NaN	NaN	NaN
3.32	0.51	0.937	5.251	NaN	NaN	NaN
3.34	1.514	0.661	2.069	NaN	NaN	NaN
3.36	0.51	0.937	5.887	NaN	NaN	NaN
3.38	1.411	0.634	3.361	NaN	NaN	NaN
3.4	1.543	0.668	5.755	NaN	NaN	NaN
3.42	2.485	0.377	1.977	NaN	NaN	NaN
3.44	2.321	0.334	2.046	NaN	NaN	NaN
3.46	1.248	0.726	2.582	NaN	NaN	NaN
3.48	2.767	0.181	2.817	NaN	NaN	NaN
3.5	0.636	0.97	7.309	NaN	NaN	NaN
3.52	2.237	0.312	2.813	NaN	NaN	NaN
3.54	2.501	0.381	1.707	NaN	NaN	NaN
3.56	1.119	0.784	4.508	NaN	NaN	NaN
3.58	3.67	0.147	0.605	NaN	NaN	NaN
3.6	0.51	0.937	5.555	NaN	NaN	NaN
3.62	0.258	0.872	3.775	NaN	NaN	NaN
3.64	2.517	0.385	0.304	NaN	NaN	NaN
3.66	1.985	0.515	2.751	NaN	NaN	NaN
3.68	1.619	0.688	3.65	NaN	NaN	NaN
3.7	1.3	0.74	4.647	NaN	NaN	NaN
3.72	1.263	0.73	3.526	NaN	NaN	NaN
3.74	2.343	0.34	-0.285	NaN	NaN	NaN
3.76	3.098	0.226	1.268	NaN	NaN	NaN
3.78	2.605	0.408	2.269	NaN	NaN	NaN
3.8	0.51	0.937	4.537	NaN	NaN	NaN
3.82	0.5	-0.138	-0.73	NaN	NaN	NaN
3.84	0.397	0.907	4.214	NaN	NaN	NaN
3.86	1.514	0.661	1.77	NaN	NaN	NaN
3.88	0.35	0.895	2.293	NaN	NaN	NaN
3.9	2.517	0.385	2.147	NaN	NaN	NaN
3.92	1.012	0.799	4.28	NaN	NaN	NaN
3.94	2.517	0.385	2.616	NaN	NaN	NaN
3.96	-1.57	0.398	4.164	NaN	NaN	NaN
3.98	0.622	0.966	4.342	NaN	NaN	NaN
4	2.843	0.236	1.05	NaN	NaN	NaN
4.02	2.359	0.344	2.219	NaN	NaN	NaN
4.04	0.336	0.892	3.9	NaN	NaN	NaN
4.06	2.391	0.353	2.525	NaN	NaN	NaN
4.08	0.51	0.937	2.22	NaN	NaN	NaN
4.1	1.514	0.661	3.744	NaN	NaN	NaN
4.12	1.012	0.799	3.476	NaN	NaN	NaN
4.14	0.34	0.893	5.039	NaN	NaN	NaN
4.16	2.665	0.424	3.339	NaN	NaN	NaN
4.18	0.752	-0.073	-0.292	NaN	NaN	NaN
4.2	0.361	0.899	4.935	NaN	NaN	NaN
4.22	1.514	0.661	4.187	NaN	NaN	NaN
4.24	1.612	0.686	2.902	NaN	NaN	NaN
4.26	0.5	-0.138	0.028	NaN	NaN	NaN
4.28	0.51	0.937	5.12	NaN	NaN	NaN
4.3	2.537	0.391	3.211	NaN	NaN	NaN
4.32	-1.024	0.271	1.323	NaN	NaN	NaN
4.34	1.477	0.651	2.443	NaN	NaN	NaN
4.36	0.51	0.937	5.289	NaN	NaN	NaN
4.38	0.314	0.886	8.645	NaN	NaN	NaN
4.4	2.581	0.401	1.737	NaN	NaN	NaN
4.42	2.517	0.385	-0.998	NaN	NaN	NaN
4.44	0.482	0.93	4.967	NaN	NaN	NaN
4.46	2.496	0.38	2.795	NaN	NaN	NaN
4.48	2.368	0.347	1.461	NaN	NaN	NaN
4.5	1.619	0.688	3.579	NaN	NaN	NaN
4.52	0.478	0.929	6.035	NaN	NaN	NaN
4.54	3.67	0.147	0.876	NaN	NaN	NaN
4.56	2.485	0.377	0.417	NaN	NaN	NaN
4.58	0.361	0.899	4.775	NaN	NaN	NaN
4.6	0.628	0.968	5.537	NaN	NaN	NaN
4.62	1.059	0.853	5.235	NaN	NaN	NaN
4.64	1.847	0.513	4.254	NaN	NaN	NaN
4.66	2.517	0.385	2.905	NaN	NaN	NaN
4.68	0.51	0.937	4.578	NaN	NaN	NaN
4.7	2.665	0.424	1.909	NaN	NaN	NaN
4.72	2.517	0.385	4.669	NaN	NaN	NaN
4.74	2.403	0.356	2.704	NaN	NaN	NaN
4.76	0.252	0.065	0.909	NaN	NaN	NaN
4.78	2.517	0.385	2.013	NaN	NaN	NaN
4.8	0.863	0.76	4.743	NaN	NaN	NaN
4.82	2.265	0.32	1.725	NaN	NaN	NaN
4.84	2.485	0.377	4.256	NaN	NaN	NaN
4.86	1.263	0.73	6.07	NaN	NaN	NaN
4.88	0.406	0.91	6.21	NaN	NaN	NaN
4.9	2.485	0.377	2.821	NaN	NaN	NaN
4.92	0.404	0.909	4.039	NaN	NaN	NaN
4.94	2.686	0.43	2.17	NaN	NaN	NaN
4.96	2.413	0.359	1.946	NaN	NaN	NaN
4.98	0.51	0.937	7.913	NaN	NaN	NaN
5	0.258	0.872	4.306	NaN	NaN	NaN
5.02	1.651	0.696	3.768	NaN	NaN	NaN
5.04	0.51	0.937	5.658	NaN	NaN	NaN
5.06	0.361	0.899	4.347	NaN	NaN	NaN
5.08	1.514	0.661	3.505	NaN	NaN	NaN
5.1	0.51	0.937	4.791	NaN	NaN	NaN
5.12	2.494	0.379	1.049	NaN	NaN	NaN
5.14	2.677	0.427	1.573	NaN	NaN	NaN
5.16	0.538	0.944	7.397	NaN	NaN	NaN
5.18	0.51	0.937	4.096	NaN	NaN	NaN
5.2	2.665	0.424	3.03	NaN	NaN	NaN
5.22	0.483	0.93	8.134	NaN	NaN	NaN
5.24	1.377	0.625	3.713	NaN	NaN	NaN
5.26	3.124	0.274	4.801	NaN	NaN	NaN
5.28	2.654	0.421	2.337	NaN	NaN	NaN
5.3	1.262	0.595	3.373	NaN	NaN	NaN
5.32	2.496	0.38	2.041	NaN	NaN	NaN
5.34	0.229	0.864	6.638	NaN	NaN	NaN
5.36	-1.336	0.458	2.345	NaN	NaN	NaN
5.38	0.51	0.937	5.658	NaN	NaN	NaN
5.4	2.177	0.564	5.924	NaN	NaN	NaN
5.42	1.157	0.837	5.064	NaN	NaN	NaN
5.44	0.51	0.937	4.937	NaN	NaN	NaN
5.46	0.51	0.937	7.218	NaN	NaN	NaN
5.48	2.517	0.385	2.088	NaN	NaN	NaN
5.5	2.359	0.344	3.085	NaN	NaN	NaN
5.52	0.482	0.93	5.78	NaN	NaN	NaN
5.54	-0.25	0.203	1.141	NaN	NaN	NaN
5.56	0.493	0.933	4.561	NaN	NaN	NaN
5.58	1.262	0.595	2.827	NaN	NaN	NaN
5.6	1.497	0.656	5.692	NaN	NaN	NaN
5.62	1.902	0.627	4.076	NaN	NaN	NaN
5.64	2.265	0.32	2.03	NaN	NaN	NaN
5.66	0.51	0.937	4.051	NaN	NaN	NaN
5.68	-0.366	0.174	4.218	NaN	NaN	NaN
5.7	0.446	0.92	4.449	NaN	NaN	NaN
5.72	0.51	0.937	5.339	NaN	NaN	NaN
5.74	-0.503	0.138	2.993	NaN	NaN	NaN
5.76	2.119	0.55	5.15	NaN	NaN	NaN
5.78	0.896	0.803	4.966	NaN	NaN	NaN
5.8	-1.396	0.442	2.648	NaN	NaN	NaN
5.82	2.517	0.385	4.39	NaN	NaN	NaN
5.84	0.598	0.96	5.412	NaN	NaN	NaN
5.86	0.51	0.937	4.879	NaN	NaN	NaN
5.88	0.51	0.937	6.749	NaN	NaN	NaN
5.9	-0.055	0.015	-0.169	NaN	NaN	NaN
5.92	0.51	0.937	4.875	NaN	NaN	NaN
5.94	0.51	0.937	5.391	NaN	NaN	NaN
5.96	2.654	0.421	4.342	NaN	NaN	NaN
5.98	-1.356	0.453	2.785	NaN	NaN	NaN
6	-1.256	0.479	5.057	NaN	NaN	NaN
6.02	0.429	0.689	4.853	NaN	NaN	NaN
6.04	1.514	0.661	4.24	NaN	NaN	NaN
6.06	2.517	0.385	3.519	NaN	NaN	NaN
6.08	0.51	0.937	4.221	NaN	NaN	NaN
6.1	1.737	0.585	3.093	NaN	NaN	NaN
6.12	2.517	0.385	2.438	NaN	NaN	NaN
6.14	0.384	0.905	5.792	NaN	NaN	NaN
6.16	3.493	0.102	-0.048	NaN	NaN	NaN
6.18	1.04	0.806	7.213	NaN	NaN	NaN
6.2	-1.508	0.414	4.677	NaN	NaN	NaN
6.22	-1.005	0.275	1.418	NaN	NaN	NaN
6.24	1.791	0.733	5.506	NaN	NaN	NaN
6.26	-1.346	0.456	2.39	NaN	NaN	NaN
6.28	0.658	0.975	5.247	NaN	NaN	NaN
6.3	0.538	0.944	5.697	NaN	NaN	NaN
6.32	2.517	0.385	1.852	NaN	NaN	NaN
6.34	-1.536	0.406	3.906	NaN	NaN	NaN
6.36	2.017	0.523	2.853	NaN	NaN	NaN
6.38	1.15	0.682	5.71	NaN	NaN	NaN
6.4	0.361	0.899	5.83	NaN	NaN	NaN
6.42	0.361	0.899	4.514	NaN	NaN	NaN
6.44	-0.024	1.066	5.831	NaN	NaN	NaN
6.46	2.769	0.451	4.633	NaN	NaN	NaN
6.48	0.658	0.975	6.171	NaN	NaN	NaN
6.5	2.665	0.424	3.79	NaN	NaN	NaN
6.52	0.361	0.899	8.127	NaN	NaN	NaN
6.54	2.99	0.106	0.709	NaN	NaN	NaN
6.56	0.51	0.937	5.619	NaN	NaN	NaN
6.58	2.379	0.35	1.957	NaN	NaN	NaN
6.6	0.487	0.931	3.844	NaN	NaN	NaN
6.62	0.5	-0.138	-0.371	NaN	NaN	NaN
6.64	1.48	0.652	4.211	NaN	NaN	NaN
6.66	-1.356	0.453	4.249	NaN	NaN	NaN
6.68	2.517	0.385	5.241	NaN	NaN	NaN
6.7	0.51	0.937	5.658	NaN	NaN	NaN
6.72	2.494	0.379	2.707	NaN	NaN	NaN
6.74	1.514	0.661	4.282	NaN	NaN	NaN
6.76	0.361	0.899	5.469	NaN	NaN	NaN
6.78	2.379	0.35	1.603	NaN	NaN	NaN
6.8	0.361	0.899	6.529	NaN	NaN	NaN
6.82	0.361	0.899	4.454	NaN	NaN	NaN
6.84	0.658	0.975	5.084	NaN	NaN	NaN
6.86	2.517	0.385	2.824	NaN	NaN	NaN
6.88	2.665	0.424	3.03	NaN	NaN	NaN
6.9	0.649	0.973	5.643	NaN	NaN	NaN
6.92	0.404	0.909	5.773	NaN	NaN	NaN
6.94	1.514	0.661	6.085	NaN	NaN	NaN
6.96	2.635	0.416	2.988	NaN	NaN	NaN
6.98	0.229	0.864	7.126	NaN	NaN	NaN
7	-1.37	0.449	3.126	NaN	NaN	NaN
7.02	-0.341	0.179	1.299	NaN	NaN	NaN
7.04	-1.005	0.275	2.01	NaN	NaN	NaN
7.06	0.538	0.944	5.312	NaN	NaN	NaN
7.08	0.51	0.937	5.17	NaN	NaN	NaN
7.1	2.517	0.385	2.438	NaN	NaN	NaN
7.12	0.51	0.937	4.923	NaN	NaN	NaN
7.14	-0.25	0.203	1.208	NaN	NaN	NaN
7.16	-1.256	0.479	4.688	NaN	NaN	NaN
7.18	0.372	0.902	5.51	NaN	NaN	NaN
7.2	0.658	0.975	6.401	NaN	NaN	NaN
7.22	0.372	0.902	6.513	NaN	NaN	NaN
7.24	2.517	0.385	2.626	NaN	NaN	NaN
7.26	0.659	0.976	5.113	NaN	NaN	NaN
7.28	0.51	0.937	5.092	NaN	NaN	NaN
7.3	0.51	0.937	5.072	NaN	NaN	NaN
7.32	-1.536	0.406	2.401	NaN	NaN	NaN
7.34	-0.742	0.295	0.503	NaN	NaN	NaN
7.36	0.9	0.812	4.602	NaN	NaN	NaN
7.38	-1.004	0.41	2.931	NaN	NaN	NaN
7.4	-0.638	0.103	-0.899	NaN	NaN	NaN
7.42	0.651	-0.099	0.498	NaN	NaN	NaN
7.44	2.495	0.379	2.867	NaN	NaN	NaN
7.46	3.523	0.11	2.145	NaN	NaN	NaN
7.48	2.465	0.371	2.752	NaN	NaN	NaN
7.5	0.482	0.93	5.075	NaN	NaN	NaN
7.52	-1.508	0.414	1.759	NaN	NaN	NaN
7.54	1.487	0.654	6.491	NaN	NaN	NaN
7.56	2.518	0.385	2.577	NaN	NaN	NaN
7.58	0.395	0.908	4.474	NaN	NaN	NaN
7.6	1.494	0.656	3.515	NaN	NaN	NaN
7.62	1.013	0.799	4.523	NaN	NaN	NaN
7.64	-1.609	0.387	4.981	NaN	NaN	NaN
7.66	2.546	0.393	2.024	NaN	NaN	NaN
7.68	0.761	0.868	6.383	NaN	NaN	NaN
7.7	0.621	-0.107	2.551	NaN	NaN	NaN
7.72	-0.13	1.04	8.453	NaN	NaN	NaN
7.74	0.51	0.937	8.136	NaN	NaN	NaN
7.76	0	0	0.366	NaN	NaN	NaN
7.78	0.372	0.902	6.947	NaN	NaN	NaN
7.8	0.372	0.902	5.554	NaN	NaN	NaN
7.82	2.621	0.412	2.164	NaN	NaN	NaN
7.84	-1.346	0.456	5.201	NaN	NaN	NaN
7.86	0.51	0.937	6.356	NaN	NaN	NaN
7.88	1.515	0.662	3.455	NaN	NaN	NaN
7.9	0.542	0.946	4.66	NaN	NaN	NaN
7.92	0.985	0.791	4.868	NaN	NaN	NaN
7.94	1.013	0.799	4.808	NaN	NaN	NaN
7.96	-1.477	0.422	-3.754	NaN	NaN	NaN
7.98	1.515	0.662	3.609	NaN	NaN	NaN
8	0.406	0.911	4.117	NaN	NaN	NaN
8.02	2.54	0.391	1.752	NaN	NaN	NaN
8.04	1.362	0.756	6.441	NaN	NaN	NaN
8.06	1.515	0.662	2.353	NaN	NaN	NaN
8.08	0.637	-0.103	-0.167	NaN	NaN	NaN
8.1	2.518	0.385	2.909	NaN	NaN	NaN
8.12	-0.355	0.097	0.264	NaN	NaN	NaN
8.14	2.497	0.38	2.134	NaN	NaN	NaN
8.16	-1.357	0.453	2.409	NaN	NaN	NaN
8.18	0.538	0.945	5.4	NaN	NaN	NaN
8.2	2.49	0.378	2.892	NaN	NaN	NaN
8.22	2.49	0.378	1.753	NaN	NaN	NaN
8.24	0.753	-0.073	-0.209	NaN	NaN	NaN
8.26	0.558	0.949	5.341	NaN	NaN	NaN
8.28	2.517	0.385	1.882	NaN	NaN	NaN
8.3	0.51	0.937	3.44	NaN	NaN	NaN
8.32	0.51	0.937	6.353	NaN	NaN	NaN
8.34	0.15	0.039	0.943	NaN	NaN	NaN
8.36	-1.508	0.414	2.08	NaN	NaN	NaN
8.38	1.612	0.686	0.624	NaN	NaN	NaN
8.4	0.538	0.944	5.397	NaN	NaN	NaN
8.42	0.779	-0.066	-0.042	NaN	NaN	NaN
8.44	-0.352	0.176	0.917	NaN	NaN	NaN
8.46	0.51	0.937	5.396	NaN	NaN	NaN
8.48	1.354	0.62	3.118	NaN	NaN	NaN
8.5	0.521	-0.133	-0.279	NaN	NaN	NaN
8.52	0.624	0.967	5.89	NaN	NaN	NaN
8.54	2.665	0.424	2.699	NaN	NaN	NaN
8.56	0.5	-0.138	0.028	NaN	NaN	NaN
8.58	0.51	0.937	6.723	NaN	NaN	NaN
8.6	0.372	0.902	5.069	NaN	NaN	NaN
8.62	1.377	0.625	7.208	NaN	NaN	NaN
8.64	0.446	0.92	7.408	NaN	NaN	NaN
8.66	0.51	0.937	4.923	NaN	NaN	NaN
8.68	0.67	0.978	5.88	NaN	NaN	NaN
8.7	0.395	-0.166	2.835	NaN	NaN	NaN
8.72	-1.256	0.479	2.464	NaN	NaN	NaN
8.74	0.51	0.937	4.923	NaN	NaN	NaN
8.76	0.67	0.978	5.805	NaN	NaN	NaN
8.78	-0.868	0.311	3.459	NaN	NaN	NaN
8.8	0.752	-0.073	-0.036	NaN	NaN	NaN
8.82	0.51	0.937	4.284	NaN	NaN	NaN
8.84	-1.477	0.422	1.82	NaN	NaN	NaN
8.86	2.517	0.385	2.013	NaN	NaN	NaN
8.88	2.537	0.391	1.171	NaN	NaN	NaN
8.9	1.514	0.661	3.86	NaN	NaN	NaN
8.92	-0.58	0.117	0.692	NaN	NaN	NaN
8.94	0.51	0.937	3.005	NaN	NaN	NaN
8.96	0.51	0.937	4.509	NaN	NaN	NaN
8.98	1.234	0.589	3.229	NaN	NaN	NaN
9	-1.256	0.479	2.534	NaN	NaN	NaN
9.02	2.517	0.385	2.587	NaN	NaN	NaN
9.04	2.517	0.385	3.952	NaN	NaN	NaN
9.06	2.665	0.424	3.189	NaN	NaN	NaN
9.08	0.471	-0.145	2.245	NaN	NaN	NaN
9.1	2.517	0.385	4.289	NaN	NaN	NaN
9.12	0.762	1.003	8.001	NaN	NaN	NaN
9.14	2.654	0.421	3.21	NaN	NaN	NaN
9.16	0.494	0.933	6.804	NaN	NaN	NaN
9.18	0.15	0.039	0.907	NaN	NaN	NaN
9.2	-1.508	0.414	4.13	NaN	NaN	NaN
9.22	0.51	0.937	5.026	NaN	NaN	NaN
9.24	0.5	-0.138	0.723	NaN	NaN	NaN
9.26	-1.508	0.414	2.862	NaN	NaN	NaN
9.28	0.622	0.966	5.057	NaN	NaN	NaN
9.3	0.658	0.975	7.34	NaN	NaN	NaN
9.32	2.489	0.378	1.312	NaN	NaN	NaN
9.34	0.258	0.872	3.968	NaN	NaN	NaN
9.36	1.012	0.799	6.603	NaN	NaN	NaN
9.38	2.017	0.523	2.647	NaN	NaN	NaN
9.4	0.482	0.93	4.92	NaN	NaN	NaN
9.42	-0.352	0.176	3.303	NaN	NaN	NaN
9.44	0.879	-0.174	-1.869	NaN	NaN	NaN
9.46	-1.508	0.414	2.098	NaN	NaN	NaN
9.48	0.51	0.937	4.505	NaN	NaN	NaN
9.5	-0.472	0.145	0.052	NaN	NaN	NaN
9.52	0.51	0.937	3.159	NaN	NaN	NaN
9.54	0.79	1.009	6.333	NaN	NaN	NaN
9.56	0.651	-0.099	1.015	NaN	NaN	NaN
9.58	0.538	0.944	7.314	NaN	NaN	NaN
9.6	-0.531	0.13	0.243	NaN	NaN	NaN
9.62	0.647	0.972	4.918	NaN	NaN	NaN
9.64	1.012	0.799	3.348	NaN	NaN	NaN
9.66	-1.005	0.275	0.68	NaN	NaN	NaN
9.68	0.51	0.937	3.673	NaN	NaN	NaN
9.7	0.002	0.269	1.098	NaN	NaN	NaN
9.72	-1.356	0.453	2.336	NaN	NaN	NaN
9.74	0.622	0.966	5.097	NaN	NaN	NaN
9.76	0.51	0.937	7.914	NaN	NaN	NaN
9.78	2.665	0.424	2.209	NaN	NaN	NaN
9.8	1.45	0.644	3.803	NaN	NaN	NaN
9.82	-0.051	0.006	0.067	NaN	NaN	NaN
9.84	2.517	0.385	2.398	NaN	NaN	NaN
9.86	0.661	-0.096	0.903	NaN	NaN	NaN
