time	wmstart	wmdisp15
3.9800	0.0006	-4.3445
4.0000	0.0009	-4.3438
4.0200	0.0006	-4.3443
4.0400	0.0009	-4.3446
4.0600	0.0006	-4.3441
4.0800	0.0008	-4.3443
4.1000	0.0003	-4.3441
4.1200	0.0001	-4.3443
4.1400	0.0006	-4.3437
4.1600	0.0006	-4.3441
4.1800	0.0003	-4.3440
4.2000	0.0004	-4.3437
4.2200	0.0004	-4.3446
4.2400	0.0006	-4.3446
4.2600	0.0006	-4.3440
4.2800	0.0008	-4.3433
4.3000	0.0004	-4.3438
4.3200	0.0008	-4.3441
4.3400	0.0003	-4.3441
4.3600	0.0006	-4.3438
4.3800	0.0006	-4.3441
4.4000	0.0001	-4.3437
4.4200	0.0006	-4.3435
4.4400	0.0008	-4.3435
4.4600	0.0006	-4.3440
4.4800	0.0003	-4.3438
4.5000	0.0004	-4.3435
4.5200	0.0004	-4.3438
4.5400	0.0004	-4.3435
4.5600	0.0004	-4.3433
4.5800	0.0008	-4.3443
4.6000	0.0006	-4.3438
4.6200	0.0009	-4.3437
4.6400	0.0004	-4.3440
4.6600	0.0003	-4.3441
4.6800	0.0006	-4.3440
4.7000	0.0006	-4.3438
4.7200	0.0011	-4.3440
4.7400	0.9927	-4.3445
4.7600	5.2617	-4.3440
4.7800	4.8275	-4.3440
4.8000	5.0456	-4.3440
4.8200	4.9486	-4.3449
4.8400	5.0013	-4.3440
4.8600	4.9783	-4.3437
4.8800	4.9942	-4.3448
4.9000	4.9899	-4.3443
4.9200	4.9955	-4.3445
4.9400	4.9955	-4.3441
4.9600	4.9985	-4.3440
4.9800	4.9998	-4.3440
5.0000	5.0016	-4.3438
5.0200	5.0029	-4.3440
5.0400	5.0051	-4.3441
5.0600	5.0056	-4.3441
5.0800	5.0072	-4.3438
5.1000	5.0082	-4.3437
5.1200	5.0089	-4.3441
5.1400	5.0106	-4.3438
5.1600	5.0118	-4.3441
5.1800	5.0124	-4.3441
5.2000	5.0129	-4.3441
5.2200	5.0138	-4.3445
5.2400	5.0145	-4.3445
5.2600	5.0153	-4.3441
5.2800	5.0163	-4.3440
5.3000	5.0166	-4.3438
5.3200	5.0172	-4.3440
5.3400	5.0174	-4.3438
5.3600	5.0177	-4.3438
5.3800	5.0184	-4.3441
5.4000	5.0187	-4.3438
5.4200	5.0187	-4.3441
5.4400	5.0192	-4.3441
5.4600	5.0200	-4.3440
5.4800	5.0196	-4.3437
5.5000	5.0200	-4.3441
5.5200	5.0196	-4.3443
5.5400	5.0198	-4.3445
5.5600	5.0204	-4.3445
5.5800	5.0203	-4.3440
5.6000	5.0208	-4.3445
5.6200	5.0201	-4.3443
5.6400	5.0206	-4.3441
5.6600	5.0203	-4.3445
5.6800	5.0209	-4.3449
5.7000	5.0209	-4.3441
5.7200	5.0208	-4.3443
5.7400	5.0208	-4.3443
5.7600	5.0204	-4.3443
5.7800	5.0204	-4.3445
5.8000	5.0201	-4.3440
5.8200	5.0208	-4.3438
5.8400	5.0204	-4.3443
5.8600	5.0200	-4.3443
5.8800	5.0203	-4.3441
5.9000	5.0204	-4.3440
5.9200	5.0200	-4.3443
5.9400	5.0200	-4.3437
5.9600	5.0193	-4.3440
5.9800	5.0195	-4.3449
6.0000	5.0195	-4.3443
6.0200	5.0195	-4.3443
6.0400	5.0195	-4.3451
6.0600	5.0193	-4.3443
6.0800	5.0185	-4.3441
6.1000	5.0188	-4.3437
6.1200	5.0182	-4.3435
6.1400	5.0185	-4.3440
6.1600	5.0184	-4.3437
6.1800	5.0182	-4.3435
6.2000	5.0177	-4.3440
6.2200	5.0176	-4.3443
6.2400	5.0176	-4.3441
6.2600	5.0176	-4.3438
6.2800	5.0174	-4.3446
6.3000	5.0167	-4.3445
6.3200	5.0171	-4.3438
6.3400	5.0166	-4.3438
6.3600	5.0167	-4.3443
6.3800	5.0164	-4.3443
6.4000	5.0161	-4.3433
6.4200	5.0161	-4.3438
6.4400	5.0159	-4.3448
6.4600	5.0159	-4.3441
6.4800	5.0151	-4.3441
6.5000	5.0153	-4.3443
6.5200	5.0147	-4.3446
6.5400	5.0153	-4.3438
6.5600	5.0148	-4.3440
6.5800	5.0145	-4.3438
6.6000	5.0143	-4.3433
6.6200	5.0142	-4.3435
6.6400	5.0140	-4.3437
6.6600	5.0138	-4.3440
6.6800	5.0135	-4.3441
6.7000	5.0134	-4.3443
6.7200	5.0134	-4.3445
6.7400	5.0130	-4.3446
6.7600	5.0132	-4.3440
6.7800	5.0129	-4.3441
6.8000	5.0129	-4.3440
6.8200	5.0127	-4.3443
6.8400	5.0122	-4.3441
6.8600	5.0119	-4.3440
6.8800	5.0118	-4.3443
6.9000	5.0116	-4.3443
6.9200	5.0113	-4.3440
6.9400	5.0111	-4.3456
6.9600	5.0111	-4.3443
6.9800	5.0109	-4.3441
7.0000	5.0111	-4.3445
7.0200	5.0109	-4.3448
7.0400	5.0101	-4.3441
7.0600	5.0105	-4.3435
7.0800	5.0103	-4.3440
7.1000	5.0105	-4.3437
7.1200	5.0098	-4.3440
7.1400	5.0101	-4.3437
7.1600	5.0097	-4.3441
7.1800	5.0092	-4.3446
7.2000	5.0090	-4.3448
7.2200	5.0090	-4.3446
7.2400	5.0090	-4.3445
7.2600	5.0089	-4.3441
7.2800	5.0087	-4.3440
7.3000	5.0084	-4.3432
7.3200	5.0085	-4.3433
7.3400	5.0084	-4.3437
7.3600	5.0082	-4.3441
7.3800	5.0080	-4.3440
7.4000	5.0077	-4.3435
7.4200	5.0079	-4.3433
7.4400	5.0076	-4.3435
7.4600	5.0072	-4.3438
7.4800	5.0072	-4.3440
7.5000	5.0074	-4.3445
7.5200	5.0071	-4.3443
7.5400	5.0068	-4.3443
7.5600	5.0068	-4.3441
7.5800	5.0069	-4.3443
7.6000	5.0066	-4.3443
7.6200	5.0058	-4.3445
7.6400	5.0061	-4.3443
7.6600	5.0060	-4.3438
7.6800	5.0056	-4.3443
7.7000	5.0051	-4.3437
7.7200	5.0056	-4.3437
7.7400	5.0055	-4.3445
7.7600	5.0050	-4.3440
7.7800	5.0055	-4.3441
7.8000	5.0050	-4.3445
7.8200	5.0050	-4.3441
7.8400	5.0050	-4.3441
7.8600	5.0047	-4.3435
7.8800	5.0045	-4.3433
7.9000	5.0042	-4.3446
7.9200	5.0045	-4.3440
7.9400	5.0040	-4.3437
7.9600	5.0043	-4.3437
7.9800	5.0039	-4.3440
8.0000	5.0034	-4.3441
8.0200	5.0040	-4.3440
8.0400	5.0039	-4.3443
8.0600	5.0039	-4.3438
8.0800	5.0035	-4.3445
8.1000	5.0034	-4.3448
8.1200	5.0034	-4.3446
8.1400	5.0032	-4.3445
8.1600	5.0032	-4.3437
8.1800	5.0031	-4.3443
8.2000	5.0027	-4.3433
8.2200	5.0027	-4.3435
8.2400	5.0026	-4.3440
8.2600	5.0026	-4.3438
8.2800	5.0026	-4.3443
8.3000	5.0018	-4.3443
8.3200	5.0021	-4.3438
8.3400	5.0021	-4.3438
8.3600	5.0019	-4.3441
8.3800	5.0019	-4.3437
8.4000	5.0016	-4.3440
8.4200	5.0014	-4.3448
8.4400	5.0013	-4.3448
8.4600	5.0016	-4.3449
8.4800	5.0013	-4.3446
8.5000	5.0016	-4.3440
8.5200	5.0011	-4.3437
8.5400	5.0011	-4.3435
8.5600	5.0011	-4.3441
8.5800	5.0011	-4.3441
8.6000	5.0010	-4.3446
8.6200	5.0013	-4.3441
8.6400	5.0010	-4.3441
8.6600	5.0011	-4.3438
8.6800	5.0003	-4.3437
8.7000	5.0005	-4.3443
8.7200	5.0003	-4.3443
8.7400	4.9998	-4.3443
8.7600	5.0005	-4.3438
8.7800	4.9997	-4.3433
8.8000	5.0003	-4.3437
8.8200	4.9997	-4.3437
8.8400	5.0000	-4.3438
8.8600	4.9997	-4.3441
8.8800	4.9997	-4.3441
8.9000	4.9998	-4.3443
8.9200	4.9997	-4.3441
8.9400	4.9995	-4.3441
8.9600	4.9992	-4.3437
8.9800	4.9992	-4.3440
9.0000	4.9990	-4.3438
9.0200	4.9994	-4.3438
9.0400	4.9994	-4.3446
